county_fips,state_code,region,as_weighted_avg20062011,ba_weighted_avg20062011,be_weighted_avg20062011,cd_weighted_avg20062011,cr_weighted_avg20062011,hg_weighted_avg20062011,se_weighted_avg20062011,u_weighted_avg20002011
02013,AK,AKHI,0.42,5.49,0.14,0.04,1.29,0.14,0.51,0.62
02016,AK,AKHI,0.52,3.31,0.14,0.04,0.74,0.14,1.7,0.58
02050,AK,AKHI,2.84,159.5,0.14,0.06,2.85,0.14,0.57,0.59
02060,AK,AKHI,4.55,1.6,0.14,0.04,0.5,0.14,0.59,0.58
02070,AK,AKHI,5.58,11.77,0.14,0.04,2.99,0.14,0.45,0.53
02090,AK,AKHI,0.87,62.16,0.14,0.04,1.06,0.14,0.48,0.99
02100,AK,AKHI,0.86,12.76,0.15,0.04,0.65,0.14,1.78,0.71
02110,AK,AKHI,0.42,41.32,0.14,0.04,0.06,0.14,0.89,0.71
02122,AK,AKHI,4.77,37.55,0.14,0.04,0.44,0.14,0.47,0.97
02158,AK,AKHI,3.34,46.49,0.18,0.04,0.86,0.15,0.66,0.61
02164,AK,AKHI,3.52,1.75,0.14,0.04,0.75,0.14,0.53,0.76
02170,AK,AKHI,2.52,16.72,0.15,0.04,0.47,0.14,0.48,0.51
02180,AK,AKHI,1.11,13.32,0.14,0.08,1.08,0.14,1.42,1.38
02185,AK,AKHI,0.34,4.65,0.14,0.04,0.58,0.14,0.61,0.7
02188,AK,AKHI,0.53,57.39,0.14,0.05,1.42,0.14,0.58,0.86
02195,AK,AKHI,0.31,6.6,0.15,0.04,0.36,0.14,0.42,0.71
02220,AK,AKHI,0.35,12.4,0.14,0.04,0.07,0.14,0.42,0.71
02230,AK,AKHI,0.35,49.23,0.14,0.04,0.06,0.14,0.42,0.73
02240,AK,AKHI,0.94,59,0.14,0.04,0.38,0.14,0.55,1.6
02261,AK,AKHI,0.76,9.35,0.14,0.04,0.1,0.14,0.44,0.67
02290,AK,AKHI,0.69,86.65,0.14,0.05,1.28,0.14,0.78,0.76
04001,AZ,SW,2.96,164.87,0.17,0.12,0.82,0.18,1.8,5.18
04003,AZ,SW,3.68,115.69,0.14,0.04,1.55,0.14,0.57,3.08
04005,AZ,SW,2.16,298.06,0.14,0.04,1.78,0.14,0.79,1.78
04007,AZ,SW,2.45,71.22,0.14,0.04,0.64,0.14,0.44,4.35
04009,AZ,SW,6.39,29.12,0.14,0.04,0.89,0.14,0.61,3.09
04012,AZ,SW,2.81,50.94,0.14,0.04,2.93,0.14,1.33,3.1
04013,AZ,SW,5.62,69.03,0.15,0.05,8.05,0.14,0.99,2.57
04015,AZ,SW,4.23,27.64,0.14,0.04,14.28,0.17,2.05,6.3
04017,AZ,SW,4.56,55.51,0.14,0.04,0.87,0.15,1.76,4.19
04019,AZ,SW,3.47,92.5,0.14,0.04,0.25,0.14,0.48,4.43
04021,AZ,SW,6.04,38.43,0.14,0.48,4.48,0.14,1.92,9
04023,AZ,SW,5.15,20.3,0.14,0.04,0.12,0.14,0.42,5.97
04025,AZ,SW,8.65,85.88,0.14,0.04,3.82,0.14,1.24,1.65
04027,AZ,SW,2.63,152.46,0.14,0.05,0.39,0.14,0.71,5.65
06001,CA,SW,0.37,28.71,0.15,0.04,0.62,0.14,0.45,1.21
06005,CA,SW,0.59,9.91,0.14,0.04,0.07,0.14,0.42,0.7
06007,CA,SW,0.75,5.91,0.12,0.12,2.82,0.13,0.42,0.92
06011,CA,SW,3.99,102.17,0.14,0.04,1.26,0.13,0.6,3.55
06013,CA,SW,1.07,16.13,0.14,0.08,0.64,0.14,1.14,2.67
06015,CA,SW,0.35,1.32,0.14,0.04,0.41,0.14,0.42,1.41
06017,CA,SW,1,5.81,0.14,0.04,0.06,0.16,0.42,4.45
06019,CA,SW,1.86,21.06,0.14,0.04,0.73,0.14,0.5,14.96
06021,CA,SW,1.04,114.71,0.12,0.07,9.97,0.13,0.75,1.31
06025,CA,SW,1.39,114.6,0.14,0.04,0.35,0.14,1.19,5.09
06027,CA,SW,3.08,3.95,0.14,0.04,0.07,0.14,0.43,5.7
06029,CA,SW,4.51,23.72,0.14,0.04,0.72,0.15,0.88,8.99
06031,CA,SW,8.55,2.66,0.14,0.04,0.59,0.14,0.95,4.97
06033,CA,SW,0.68,66.35,0.14,0.07,2.71,0.14,0.43,0.64
06035,CA,SW,5.51,6.68,0.14,0.04,1.26,0.13,0.43,0.62
06037,CA,SW,1.83,25.88,0.14,0.04,0.64,0.14,0.59,6.67
06039,CA,SW,3.01,46.2,0.15,0.05,1.59,0.14,0.69,12.3
06043,CA,SW,1.09,6.73,0.14,0.04,0.43,0.14,0.46,12.49
06047,CA,SW,5.9,125.37,0.14,0.04,5.21,0.14,0.58,9.53
06051,CA,SW,10.68,10.46,0.14,0.04,0.67,0.14,0.43,26.07
06053,CA,SW,3.05,34.36,0.13,0.07,2.48,0.14,3.69,6.27
06055,CA,SW,0.87,10.06,0.14,0.1,1.02,0.17,0.42,1.51
06057,CA,SW,1.32,1.6,0.14,0.05,0.06,0.14,0.42,1.27
06059,CA,SW,1.13,22.58,0.14,0.04,0.06,0.14,0.87,7.33
06061,CA,SW,0.93,1.24,0.14,0.15,0.07,0.14,0.42,1.42
06063,CA,SW,3.52,9.09,0.14,0.04,1.35,0.12,0.42,4.41
06065,CA,SW,1.41,32.81,0.14,0.04,2.53,0.14,0.7,7.71
06067,CA,SW,2.25,53.91,0.14,0.04,1.23,0.14,0.45,1.99
06069,CA,SW,1.38,17.31,0.14,0.04,6.23,0.14,2.02,3.9
06071,CA,SW,1.91,5.97,0.14,0.05,2.09,0.14,0.68,6.48
06073,CA,SW,1.12,47.65,0.14,0.04,0.08,0.16,0.95,4.33
06075,CA,SW,0.78,1.37,0.14,0.04,1.31,0.14,0.42,1.55
06077,CA,SW,3.7,108.68,0.15,0.05,1.65,0.14,0.74,4.82
06079,CA,SW,1.63,32.35,0.14,0.1,0.68,0.14,3.07,5.78
06081,CA,SW,1.59,20.54,0.14,0.04,5,0.14,1.91,1.06
06083,CA,SW,0.71,10.43,0.14,0.05,0.37,0.14,1.47,5.05
06085,CA,SW,0.43,64.44,0.12,0.03,0.97,0.13,0.83,3.84
06087,CA,SW,0.99,2.05,0.14,0.06,2.51,0.14,0.46,1.01
06089,CA,SW,4.15,39.79,0.14,0.04,0.38,0.14,0.42,1.06
06091,CA,SW,2.09,20.4,0.46,0.17,0.11,0.14,0.42,1.98
06093,CA,SW,0.98,1.12,0.14,0.04,0.52,0.14,0.42,1.47
06095,CA,SW,0.73,15.61,0.14,0.07,1.08,0.14,0.55,1.9
